CodigoPrestador,RangoDias,Hospitaloccupancy
50010115001,2019-01-01,2
50010115001,2019-01-02,3
50010115001,2019-01-04,2
50010115001,2019-01-05,2
50010115001,2019-01-06,1
50010115001,2019-01-07,2
50010115001,2019-01-08,3
50010115001,2019-01-09,5
50010115001,2019-01-10,5
50010115001,2019-01-11,6
50010115001,2019-01-12,5
50010115001,2019-01-13,5
50010115001,2019-01-14,6
50010115001,2019-01-15,10
50010115001,2019-01-16,8
50010115001,2019-01-17,8
50010115001,2019-01-18,9
50010115001,2019-01-19,8
50010115001,2019-01-20,7
50010115001,2019-01-21,13
50010115001,2019-01-22,6
50010115001,2019-01-23,2
50010115001,2019-01-24,4
50010115001,2019-01-25,10
50010115001,2019-01-26,6
50010115001,2019-01-27,3
50010115001,2019-01-28,6
50010115001,2019-01-29,9
50010115001,2019-01-30,14
50010115001,2019-01-31,12
50010115001,2019-02-01,8
50010115001,2019-02-02,10
50010115001,2019-02-03,12
50010115001,2019-02-04,17
50010115001,2019-02-05,15
50010115001,2019-02-06,12
50010115001,2019-02-07,14
50010115001,2019-02-08,12
50010115001,2019-02-09,9
50010115001,2019-02-10,8
50010115001,2019-02-11,19
50010115001,2019-02-12,22
50010115001,2019-02-13,13
50010115001,2019-02-14,14
50010115001,2019-02-15,12
50010115001,2019-02-16,4
50010115001,2019-02-17,4
50010115001,2019-02-18,6
50010115001,2019-02-19,9
50010115001,2019-02-20,10
50010115001,2019-02-21,5
50010115001,2019-02-22,3
50010115001,2019-02-23,7
50010115001,2019-02-24,3
50010115001,2019-02-25,8
50010115001,2019-02-26,7
50010115001,2019-02-27,7
50010115001,2019-02-28,2
50010115001,2019-03-01,4
50010115001,2019-03-02,1
50010115001,2019-03-04,6
50010115001,2019-03-05,3
50010115001,2019-03-06,5
50010115001,2019-03-07,5
50010115001,2019-03-08,4
50010115001,2019-03-09,3
50010115001,2019-03-10,2
50010115001,2019-03-11,10
50010115001,2019-03-12,5
50010115001,2019-03-13,2
50010115001,2019-03-14,2
50010115001,2019-03-15,5
50010115001,2019-03-16,3
50010115001,2019-03-17,1
50010115001,2019-03-18,5
50010115001,2019-03-19,6
50010115001,2019-03-20,3
50010115001,2019-03-21,3
50010115001,2019-03-22,2
50010115001,2019-03-23,1
50010115001,2019-03-24,2
50010115001,2019-03-25,4
50010115001,2019-03-26,6
50010115001,2019-03-27,6
50010115001,2019-03-28,6
50010115001,2019-03-29,5
50010115001,2019-03-30,5
50010115001,2019-03-31,7
